OBJECTID,Country,Feature Description,Feature Name,Installation Identifier,Controlled Unclassified Information Indicator,Is FIRRMA Site,Is Joint Base,Media Identifier,Metadata Identifier,Primary Key Identifier,Globally Unique Identifier,Site Name,Site Operational Status,Site Reporting Component Code,State Name Code,Shape__Area,Shape__Length
780,usa,na,Avon Park AF Range,QSEU,No,No,No,na,na, ,eaf47168-c845-464f-95ed-a9c40046ffe7,Avon Park AF Range,act,usaf,FL,0.0393830424832231,1.20555691329449
783,usa,na,Maxwell AFB Gunter Annex,PNQS,No,No,No,na,na, ,7532e70a-b136-4db4-a0db-eec9a8ffa5bd,Maxwell AFB Gunter Annex,act,usaf,AL,0.000146536749525694,0.100778870453101
784,usa,na,Holloman Air Force Base,KWRD,No,Yes,No,na,na, ,7fe1e060-1b36-41dc-bc41-3879fe69ecb4,Holloman AFB,act,usaf,NM,0.0198655658107327,0.848140070102901
785,usa,na,Maxwell AFB,PNQS,No,No,No,na,na, ,a9078f07-6ebb-4052-90d8-7c97b8b55dd0,Maxwell AFB,act,usaf,AL,0.000868840035536778,0.152062884914105
786,usa,na,Scott AFB,VDYD,No,No,No,na,na, ,e32f80b9-71b5-45b0-aa4a-2a2d15068e17,Scott AFB,act,usaf,IL,0.00121276693243999,0.240447299500669
787,usa,na,St Louis Air Force Station,VDYD,No,No,No,na,na, ,b482f220-e5b4-4d84-a729-99e7b6425bc6,St Louis Air Force Station,act,usaf,MO,1.30455227917992E-05,0.0206647049016682
788,usa,na,NGA Arnold Site,VDYD,No,No,No,na,na, ,9150e292-6d44-4c50-b26d-80de35251293,NGA Arnold Site,act,usaf,MO,2.64316836364742E-05,0.030588070885644
789,usa,na,MacDill Air Force Base,NVZR,No,Yes,No,na,na, ,c51ec62e-0880-459a-92a6-dc64a1459f64,MacDill AFB,act,usaf,FL,0.00211237196549519,0.22652940296686
790,usa,na,McConnell AFB,PRQE,No,No,No,na,na, ,7db565f8-3838-47ea-aabc-be62659e5cc6,McConnell AFB,act,usaf,KS,0.00573265580328552,0.30475351749438
792,usa,na,McGhee Tyson Airport,PSXE,No,No,No,na,na, ,,McGhee Tyson Airport,act,airNationalGuard,TN,0.000147650150893242,0.0796305323488627
794,usa,na,Los Angeles Space Force Annex No4,ACJP,No,No,No,na,na, ,2f3d6667-b281-42da-ab14-6618d46e3558,Los Angeles Space Force Annex No4,act,usaf,CA,1.6324606804119E-06,0.00529356346530049
795,usa,na,New Boston Space Force Station,GLEN,No,Yes,No,na,na, ,578d64db-d44d-489e-9f2b-48be37a0745e,New Boston Air Station,act,usaf,NH,0.00128831166375676,0.166665108949811
796,usa,na,Nashville IAP,BKTZ,No,No,No,na,na, ,,Nashville IAP,act,airNationalGuard,TN,3.56207572167477E-05,0.0259165459641207
797,usa,na,Birmingham Airport,BRKR,No,No,No,na,na, ,,Birmingham Airport,act,airNationalGuard,AL,5.53846455204621E-05,0.0781942587131982
798,usa,na,Bradley IAP,CEKT,No,No,No,na,na, ,,Bradley IAP,act,airNationalGuard,CT,6.48366433324554E-05,0.0413519385991004
799,usa,na,Forbes Field ANG,GUQE,No,No,No,na,na, ,,Forbes Field ANG,act,airNationalGuard,KS,8.61324751895154E-05,0.0600304544842826
801,usa,na,Des Moines IAP,FFAN,No,No,No,na,na, ,,Des Moines IAP,act,airNationalGuard,IA,7.06871126112674E-05,0.0473981105140662
802,usa,na,Otis ANG Base,SPBN,No,No,No,na,na, ,,Otis ANG Base,act,airNationalGuard,MA,0.00156017732297187,0.522112962156272
803,usa,na,Luis Munoz Marin IAP,TUMR,No,No,No,na,na, ,,Luis Munoz Marin IAP,act,usaf,PR,3.30149193814577E-05,0.0277333385195409
804,usa,na,Joe Foss Field,LUXC,No,No,No,na,na, ,,Joe Foss Field,act,airNationalGuard,SD,7.59646154619986E-05,0.0731969730458258
805,usa,na,Jackson IAP Thompson Field,LRXQ,No,No,No,na,na, ,,Jackson IAP Thompson Field,act,airNationalGuard,MS,4.67354013835575E-05,0.0507712421260061
806,usa,na,Martin State Airport,PJMS,No,No,No,na,na, ,,Martin State Airport,act,airNationalGuard,MD,7.4201641837135E-05,0.0479669466135665
807,usa,na,Memphis IAP,PYKL,No,No,No,na,na, ,,Memphis IAP,act,airNationalGuard,TN,4.75076783459372E-05,0.0315482904709984
808,usa,na,Gulfport-Biloxi Regional Airport (ANG),JTVE,No,No,No,na,na, ,,Gulfport-Biloxi Regional Airport (ANG),act,airNationalGuard,MS,4.09795479754393E-05,0.0325288643980571
809,usa,na,Channel Islands ANG Station,DJCF,No,No,No,na,na, ,,Channel Islands ANG Station,act,airNationalGuard,CA,7.24302499293117E-05,0.0358324667366232
810,usa,na,Louisville IAP-Standiford FL Site 1,WEAS,No,No,No,na,na, ,,Louisville IAP-Standiford FL Site 1,act,airNationalGuard,KY,3.38919339810673E-05,0.0317067909298187
811,usa,na,Reno Tahoe IAP,UCTL,No,No,No,na,na, ,,Reno Tahoe IAP,act,airNationalGuard,NV,2.54963538282027E-05,0.0227621518697411
812,usa,na,Springfield Beckley,WAAR,No,No,No,na,na, ,,Springfield Beckley,act,airNationalGuard,OH,5.63472965495748E-05,0.0488771423596389
813,usa,na,Schenectady ANG MAP,VBDZ,No,No,No,na,na, ,,Schenectady ANG MAP,act,airNationalGuard,NY,5.61851750262576E-05,0.0424835679149364
814,usa,na,Will Rogers World Airport,YZEU,No,No,No,na,na, ,,Will Rogers World Airport,act,airNationalGuard,OK,5.42594004855346E-05,0.0291788087550418
816,usa,na,Burlington IAP,CURZ,No,No,No,na,na, ,,Burlington IAP,act,airNationalGuard,VT,0.000113756623022709,0.0769145747949914
817,usa,na,Tulsa IAP,XHZG,No,No,No,na,na, ,,Tulsa IAP,act,airNationalGuard,OK,4.0758267914498E-05,0.0375858744154764
818,usa,na,Boise Air Terminal,BXRH,No,No,No,na,na, ,,Boise Air Terminal,act,airNationalGuard,ID,0.000264813681042142,0.113512373442912
819,usa,na,EWVRA Shepherd Field,PJVY,No,No,No,na,na, ,,EWVRA Shepherd Field,act,airNationalGuard,WV,0.000131670014980045,0.0882944731738276
820,usa,na,Jacksonville FL Maint,M68479,No,No,No,na,na, ,00000000-0000-0000-0000-000000000000,Jacksonville FL Maint,act,usmcr,FL,4.46926776476175E-05,0.0401075581565764
821,usa,na,NAVSUPPACT Annapolis,N61152,No,No,No,na,na, ,,NAVSUPPACT Annapolis,act,usn,MD,7.90481353760697E-05,0.0468596633754891
822,usa,na,Dania Beach (Lauderdale),N00213,No,No,No,na,na, ,e73218ef-ee3a-42b7-a5ea-fc802ebdbf55,Dania Beach (Lauderdale),act,usn,FL,3.56343821295013E-06,0.0101072173087283
823,usa,na,Naval Research Laboratory – Stennis Space Center,N62604,No,Yes,No,na,na, ,8d8806d3-571e-4f5b-8acf-ec9818baf7d4,Stennis Space Center,act,usn,MS,0.00529258109509101,0.368851173198218
824,usa,na,Rome Research Laboratory,MXRD,No,Yes,No,na,na, ,,Rome Laboratory,act,usaf,NY,4.67546358322579E-05,0.0386621717801256
825,usa,na,Savannah/Hilton Head IAP,XDQU,No,No,No,na,na, ,,Savannah/Hilton Head IAP,act,airNationalGuard,GA,7.97626710209443E-05,0.0771121792866327
826,usa,na,Air Force Maui Optical and Supercomputing Site,TDKA,No,Yes,No,na,na, ,,Remote Maui Experimental Site,act,usaf,HI,1.85174963007739E-06,0.00585070872920185
827,usa,na,Ramey AF Solar Observatory Research Site,SXHT,No,No,No,na,na, ,,Ramey AF Solar Observatory Research Site,act,usaf,PR,9.84000280368491E-07,0.00449199668911592
828,usa,na,Verona Defense Fuel Support Point,MXRD,No,No,No,na,na, ,,Verona Defense Fuel Support Point,act,usaf,NY,5.84624490329588E-06,0.0100287662170488
829,usa,na,Brooks AFB,CNBC,No,No,No,na,na, ,,Brooks AFB,envh,usaf,TX,0.0004914676108001,0.0957333554118392
830,usa,na,Air Force Plant 44,TTQK,No,No,No,na,na, ,,Air Force Plant 44,act,usaf,AZ,0.00049556748035684,0.0982030569225636
831,usa,na,Marine Corps Museum,M00264,No,No,No,na,na, ,a8595b4e-a30b-491f-a187-d5446e3c9a97,Marine Corps Museum,act,usmc,VA,4.21750951318245E-05,0.0308239521526202
832,usa,na,Barnes Map ANG,AXQD,No,No,No,na,na, ,,Barnes Map ANG,act,airNationalGuard,MA,4.88027114897704E-05,0.0329259710715562
834,usa,na,Air Force Plant 4,TTQK,No,No,No,na,na, ,,Air Force Plant 4,act,usaf,TX,0.000178185624235994,0.0631184597596378
835,usa,na,Chanute AFB,VDYD,No,No,No,na,na, ,,Chanute AFB,care,usaf,IL,0.000946530889450514,0.191866786251757
836,usa,na,Air Force Plant 42,TTQK,No,yes,No,na,na, ,,Air Force Plant 42,act,usaf,CA,0.00207159480214614,0.266156520902065
837,usa,na,Rosecrans MAP (139AG),ULYB,No,No,No,na,na, ,,Rosecrans MAP (139AG),act,airNationalGuard,MO,3.80100339043565E-05,0.0298922694687404
838,usa,na,Kaena Point Space Force Station,GLEN,No,Yes,No,na,na, ,,Kaena Point Space Force Station,act,usaf,HI,5.91957268625265E-06,0.0224467783132833
839,usa,na,Eglin Air Force Base,FTFA,No,Yes,No,na,na, ,70149253-9aff-4de5-8b6c-48f07991c797,Eglin AFB (Eglin Main and Reservation),act,usaf,FL,0.171243825838474,3.79769498936898
840,usa,na,Army Futures Command,,no,Yes,no,na,na, ,,,act,usa,tx,2.92857293970883E-10,6.1044064219512E-05
841,usa,na,Army Research Lab – Raleigh Durham,,no,Yes,no,na,na, ,,,act,usa,nc,3.13548298436217E-10,6.33016721586814E-05
843,usa,na,Army Research Lab – Orlando Simulations and Training Technology Center,,no,Yes,no,na,na, ,,,act,usa,fl,2.02495584744611E-07,0.00246355358694127
846,usa,na,Biometric Technology Center (Biometrics Identity Management Activity),,no,Yes,no,na,na, ,,,act,other,wv,0.000181797950062901,0.0541922209416867
847,usa,na,Defense Advanced Research Projects Agency,WHS01,no,Yes,no,na,na, ,,,,whs,va,2.43690010393038E-07,0.00198961052484086
849,usa,na,Altus AFB,AGGN,No,No,No,na,na, ,8e6367c3-ec65-422b-a037-befa6dcf1ac5,Altus AFB,act,usaf,OK,0.00162995204323124,0.238510967286931
857,usa,na,Dillingham Mil Res,15815,No,No,No,na,na, ,ae518b89-f488-4593-b88a-10ec33c3e540,Dillingham Mil Res,act,usa,HI,0.000229522896461276,0.119931884177731
858,usa,na,Fort De Russy,15815,No,No,No,na,na, ,8246b7e1-ba34-444f-ad1e-e60fed018985,Fort De Russy,act,usa,HI,2.55888880928978E-05,0.0253244739119383
863,usa,na,Helemano Military Reservation,15815,No,No,No,na,na, ,c75a02e6-7615-47b7-b413-945782b94a5d,Helemano Military Reservation,act,usa,HI,9.93507389921433E-05,0.0441713101056086
864,usa,na,Kilauea Mil Reserve,15815,No,No,No,na,na, ,1dcf4f0f-f2e0-41bd-9fa5-cbf58032b6fd,Kilauea Mil Reserve,act,usa,HI,2.27572716084978E-05,0.0271207746894236
868,usa,na,March ARB,PDPG,No,No,No,na,na, ,cac20c3b-0b6a-42c6-8af1-be5bc0123f19,March ARB,act,afr,CA,0.00271477519049768,0.414166025488827
885,usa,na,OLF Coupeville,N00620,No,No,No,na,na, ,78f95ffc-e90b-47a3-9961-69b7ac219f3c,OLF Coupeville,act,usn,WA,0.000382155178158428,0.179358486359209
886,usa,na,Pohakuloa Training Area,15815,No,Yes,No,na,na, ,51fd1412-c81c-4026-a32c-f8cce5a517bd,Pohakuloa Training Area,act,usa,HI,0.0460697410405828,1.31267065051134
891,usa,na,Shipyard Puget Sound,N68436,No,No,No,na,na, ,1e8019d5-9ffe-4a29-9b2f-f0b2a183723c,Shipyard Puget Sound,act,usn,WA,0.000149568989854743,0.0644523218335644
892,usa,na,Travis Air Force Base,XDAT,No,Yes,No,na,na, ,0b19f11c-88cf-43fc-8f51-1cb2d9ecf1e4,Travis AFB,act,usaf,CA,0.00255577249981798,0.34837211652605
897,usa,na,Travis System Annex No 2,XDAT,No,No,No,na,na, ,28a92f84-81dd-44c5-922a-be00bcf3d4e2,Travis System Annex No 2,act,usaf,CA,8.65197630446346E-05,0.0447504609980761
898,usa,na,Tripler Army Medical Center,15815,No,No,No,na,na, ,6eac0a94-412b-43f5-8b8b-248feed23ef7,Tripler Army Medical Center,act,usa,HI,0.000125932291211939,0.0511756030333933
901,usa,na,Aliamanu Military Reservation,15815,No,No,No,na,na, ,bfb29cb9-fa51-49f8-842c-37c58805552d,Aliamanu Military Reservation,act,usa,HI,0.000187477544159265,0.0670692600437387
902,usa,na,Ellington Field Joint Reserve Base,FWJH,No,Yes,No,na,na, ,,Ellington Field,act,airNationalGuard,TX,7.88555958024517E-05,0.0432132985178408
903,usa,na,NG Camp Orchard Cantonement Area,16A25,No,No,No,na,na, ,fec4b834-7adc-43f1-9eb3-73669aeff56e,NG Camp Orchard Cantonement Area,act,armyNationalGuard,ID,0.00028803483428419,0.123066267279671
916,usa,na,Aberdeen Proving Ground,24015,No,Yes,No,na,na, ,0e45b74d-0a10-420a-9c07-f7a644cc9665,Aberdeen Proving Ground,act,usa,MD,0.030540461260216,0.963338261830483
924,usa,na,Badger AAP,55125,No,No,No,na,na, ,7a194eb9-d831-4b2d-a8b3-abad459f0d03,Badger AAP,excs,usa,WI,0.000626268753194381,0.344156043529485
925,usa,na,Naval Surface Warfare Center Carderock Division – Acoustic Research Detachment,N68967,No,Yes,No,na,na, ,724d945f-93aa-4f0b-9999-8121ebbe2128,Bayview Idaho,act,usn,ID,1.27329417409783E-05,0.0262765504021929
938,usa,na,Buckley Space Force Base,CRWU,No,Yes,No,na,na, ,cd2a156d-94eb-40bc-955b-9de7d7aa66d3,Buckley Space Force Base,act,usaf,CO,0.0014034415066817,0.206335954699729
961,usa,na,Cape Canaveral Space Force Station,SXHT,No,Yes,No,na,na, ,5717bf22-b815-4a1d-a87e-dec178c88448,Cape Canaveral Space Force Station,act,usaf,FL,0.00597201227128608,0.533657073919215
962,usa,na,Carlisle Barracks,42155,No,No,No,na,na, ,75f52197-201a-4bd8-8f79-12f726cc7c03,Carlisle Barracks,act,usa,PA,0.000176770425923678,0.0846918912662744
964,usa,na,Twin Cities AAP,27650,No,No,No,na,na, ,3a6127f9-d83b-4f72-a629-73d760e239a3,Twin Cities AAP,semi,usa,MN,7.73745455262542E-05,0.0957889796027815
966,usa,na,Tooele Army Depot,49575,No,No,No,na,na, ,66b430dc-d3fd-416a-8621-96ab3c200a18,Tooele Army Depot,act,usa,UT,0.00976771270643439,0.480548981619547
971,usa,na,Sioux Gateway Airport (ANG),VSSB,No,No,No,na,na, ,,Sioux Gateway Airport (ANG),act,airNationalGuard,IA,4.06933777412632E-05,0.0434401796851089
974,usa,na,Sheppard AFB,VNVP,No,No,No,na,na, ,a8ad9288-fa32-463f-ae8c-3b5e27127018,Sheppard AFB,act,usaf,TX,0.00177011713481079,0.196156880249386
992,usa,na,Shaw Air Force Base,VLSB,No,Yes,No,na,na, ,d7a93e17-e577-4e76-a1c4-d068bc8e8ac8,Shaw AFB,act,usaf,SC,0.00133991811867418,0.283982805855564
1054,usa,na,Rocky Mountain Arsenal,8605,No,No,No,na,na, ,d9d44799-3310-4028-89b1-ec840cd0eaa1,Rocky Mountain Arsenal,clsd,usa,CO,0.00158038188010323,0.484726249884739
1136,usa,na,Rock Island Arsenal,17775,No,Yes,No,na,na, ,79503139-b953-4306-a46b-371e078004f1,Rock Island Arsenal,act,usa,IL,0.000377383866180026,0.164228911699365
1161,usa,na,Pine Bluff Arsenal,5087,No,No,No,na,na, ,139e418c-68be-4c0f-9124-47935dab9e4b,Pine Bluff Arsenal,act,usa,AR,0.00512443903903659,0.414149468955328
1162,usa,na,Ozol Defense Fuel Support Point,XDAT,No,No,No,na,na, ,9d5bbbf0-e21d-4de8-b46a-aec60dfa3d80,Ozol Defense Fuel Support Point,act,usaf,CA,2.13419307328877E-05,0.0293791774377787
1166,usa,na,Nellis Air Force Base,RKMF,No,Yes,No,na,na, ,c9ab2d33-dde1-41a6-bd6c-b4ad3173e739,Nellis,act,usaf,NV,0.00764250221072871,0.735320753124758
1206,usa,na,Nevada Test and Training Range,RKMF,No,Yes,No,na,na, ,d156e7c8-dd0a-45ea-9963-154f792dd633,Nellis Air Force Range,act,usaf,NV,1.18817468297448,8.16114374291508
1215,usa,na,Cheyenne Regional Airport,DPEZ,No,No,No,na,na, ,,Cheyenne Regional Airport,act,airNationalGuard,WY,2.88964806713921E-05,0.030374373831917
1219,usa,na,Edwards Air Force Base,FSPM,No,Yes,No,na,na, ,a5c41d7a-bae9-4a1b-a140-631839625098,Edwards AFB,act,usaf,CA,0.1230406590646,1.81074043411605
1220,usa,na,Eielson Air Force Base,FTQW,No,Yes,No,na,na, ,e1519884-ce88-4d2d-8d34-17c2abd85194,Eielson AFB,act,usaf,AK,0.0151187289593508,0.97985041603502
1227,usa,na,Fort Bliss,48125,No,Yes,No,na,na, ,fbed10df-15e2-41da-85d3-90617216608b,Fort Bliss,act,usa,TX,0.431945012582901,5.5732699403778
1234,usa,na,Fort Meade,24355,No,Yes,No,na,na, ,cbd66f34-edc6-4fb4-9024-01cc74fad822,Fort George G Meade,act,usa,MD,0.00196923413932382,0.378603535937036
1237,usa,na,Fort Cavazos,48255,No,Yes,No,na,na, ,51b7ca7e-023e-4273-899b-32f08dcbd1a6,Fort Cavazos,act,usa,TX,0.084011169289397,2.59483845461259
1242,usa,na,Fort Shafter,15815,No,Yes,No,na,na, ,580b63b5-4745-417a-a1c9-852e005dea00,Fort Shafter,act,usa,HI,0.000207452802214902,0.105883326558719
1245,usa,na,Fort Sheridan,N00128,No,No,No,na,na, ,1f614ecd-baf1-4a09-8312-7a5608cef102,Fort Sheridan,act,usn,IL,5.28697196386929E-05,0.0595959248995346
1247,usa,na,NAVSTA Everett WA,N68967,No,No,No,na,na, ,afaf1973-e8a8-48f0-981a-62011328fcf8,NAVSTA Everett WA,act,usn,WA,0.000104978405488509,0.0694001250826454
1248,usa,na,Naval Base Kitsap Bremerton WA,N68436,No,Yes,No,na,na, ,bf7f3e84-24e4-4b9c-bcfb-ca381c7a6134,Naval Base Kitsap Bremerton WA,act,usn,WA,0.000189915472219582,0.0998410538352039
1256,usa,na,Naval Air Station Whidbey Island,N00620,No,Yes,No,na,na, ,fa3c88a0-386c-44ba-b74f-07a347c6064e,NAS Whidbey Island WA,act,usn,WA,0.00214159178221962,0.384543294109629
1262,usa,na,Fallon Range Complex,N60495,No,Yes,No,na,na, ,d6ef694f-817e-4bcd-9250-25c69941cd0e,NAS Fallon NV,act,usn,NV,0.00360385249177853,0.375094857765256
1266,usa,na,NARL Barrow Camp Tr1,N68436,No,No,No,na,na, ,7ec65456-8235-42a8-b1b6-fcfaa4a953aa,NARL Barrow Camp Tr1,act,usn,AK,0.000634308849839726,0.207534819554157
1275,usa,na,Holston Army Ammunition Plant,47305,No,Yes,No,na,na, ,3e677777-fdef-410d-a232-c310759f2b73,Holston AAP,act,usa,TN,0.00250245283541517,0.609538435480162
1278,usa,na,Moody Air Force Base,QSEU,No,Yes,No,na,na, ,f5eebd16-d984-4920-9bcd-9d1e9e36a8e7,Moody AFB,act,usaf,GA,0.00415605831994981,0.403562770906771
1287,usa,na,Joint Base McGuire-Dix-Lakehurst,PTFL,no,Yes,Yes,na,na, ,7e9feba9-bb9c-4618-8d59-8f2a358eed05,Dix,act,usaf,NJ,0.0177638436794041,1.15168021592048
1302,usa,na,Marine Corps Base Camp Lejeune,M67001,No,Yes,No,na,na, ,d125b3b1-e29d-4c81-9f71-25f7547a1524,MCB Camp Lejeune (East Site),act,usmc,NC,0.0388331208350792,3.52615903850687
1305,usa,na,Luke AFB,NUEX,No,yes,No,na,na, ,96dbd92b-7524-4c28-b083-2f75968c1d6b,Luke AFB,act,usaf,AZ,0.00116209446946414,0.253469903610882
1311,usa,na,Jim Creek,N68967,No,No,No,na,na, ,ac0b1b1a-0c3b-4999-82e7-eb0b98140d93,Jim Creek,act,usn,WA,0.00236098799223328,0.272366955284098
1312,usa,na,Los Angeles Air Force Base,ACJP,No,Yes,No,na,na, ,a99f8c0a-61e0-4472-8a27-39c5beef77d5,Los Angeles AFB,act,usaf,CA,2.05653273042117E-05,0.019229648769769
1317,usa,na,Joliet AAP Elwood,17305,No,No,No,na,na, ,0aff2743-f305-4697-831b-4800cd65d8cd,Joliet AAP Elwood,excs,usa,IL,0.000260732213519077,0.14114153635584
1319,usa,na,Kingsley Field Cantonement Site 1,KJAQ,No,No,No,na,na, ,,Kingsley Field Cantonement Site 1,act,airNationalGuard,OR,7.01793937878392E-05,0.0688695304863527
1326,usa,na,Kamokala Ridge,N61064,No,No,No,na,na, ,567fe9af-2148-4ce6-84ed-5eb905c6f579,Kamokala Ridge,act,usn,HI,3.14256371893862E-05,0.0255396767363829
1331,usa,na,Keesler AFB,MAHG,No,No,No,na,na, ,1e6f8d19-ada7-4e81-963f-ef8d87a73974,Keesler AFB,act,usaf,MS,0.000540626999509186,0.152295156587697
1335,usa,na,Naval Base Kitsap - Keyport,N68436,No,Yes,No,na,na, ,b795abdd-ba2c-44f1-bd17-00dca2a08896,Naval Base Kitsap - Keyport,act,usn,WA,0.000145146862450929,0.0531078206193606
1343,usa,na,King Salmon Long Range Radar Site,VNMH,No,Yes,No,na,na, ,628b8a7d-10b2-429a-b55b-3a89552cf9b9,King Salmon Airport,act,usaf,AK,0.000229538716666866,0.0790060634951253
1345,usa,na,Joint Base Charleston,DKFX,No,No,Yes,na,na, ,9b495236-37de-404e-8efd-11da9ae74f96,Joint Base Charleston,act,usaf,SC,0.00794535176896716,1.67329311120823
1370,usa,na,Joint Base Charleston North Field SBML,DKFX,No,No,Yes,na,na, ,9b495236-37de-404e-8efd-11da9ae74f96,Joint Base Charleston North Field SBML,act,usaf,SC,0.000882522062738644,0.212967635386011
1372,usa,na,JEB Little Creek-Fort Story,N50092,no,Yes,Yes,na,na, ,b7da1072-6c1b-41af-9bf4-c8b2cfa56b0a,JNTEXPBASE Little Creek FS VA,act,usn,VA,0.00153869097857751,0.384886636620788
1377,usa,na,JEBLCFS Wallops Island,N50092,no,Yes,Yes,na,na, ,b7da1072-6c1b-41af-9bf4-c8b2cfa56b0a,JEBLCFS Wallops Island,act,usn,VA,0.00268324672629205,0.628488418001989
1378,usa,na,Marine Corps Base Camp Pendleton,M00681,no,yes,No,na,na, ,bee9b928-b311-45c3-9fc5-d6c4707ba15c,Marine Corps Base Camp Pendleton,act,usmc,CA,0.0493737747137857,1.22634687502052
1437,usa,na,Joint Base Pearl Harbor-Hickam,N62813,No,Yes,Yes,na,na, ,ca575806-c68a-45cc-ad65-9ce6b8996403,JBPHH Pearl Harbor HI,act,usn,HI,0.00757070677695992,2.31250115843529
1586,usa,na,Andersen Air Force Base,N41557,No,Yes,No,na,na, ,,Andersen Air Force Base,act,usn,GU,0.0047765749309292,0.392843581478602
1598,usa,na,NAVBASE Guam,N61755,No,Yes,No,na,na, ,,NAVBASE Guam,act,usn,GU,0.00516190024904972,1.19151751694255
1658,usa,na,Camp Blas,N61159,no,No,No,na,na, ,,Camp Blas,act,usn,GU,0.00191227150037321,0.369955264944078
1678,usa,na,Beale Air Force Base,BAEY,No,Yes,No,na,na, ,123385c6-7ae7-46b1-9f17-1037ea5a20f5,Beale AFB,act,usaf,CA,0.00976257140973757,0.511545377267998
1680,usa,na,Joint Base Anacostia-Bolling,JBAB,no,no,no,na,na, ,,Joint Base Anacostia-Bolling,act,usaf,dc,0.000414625326357054,0.108727355158929
1684,usa,na,Joint Base Andrews,AJXF,No,Yes,Yes,na,na, ,d5582f10-2b7c-438e-8d97-23f18a6cd363,JB Andrews,act,usaf,MD,0.00184783182135106,0.181325893165666
1691,usa,na,Joint Base Elmendorf-Richardson,FXSB,No,Yes,Yes,na,na, ,68e623ef-da4a-45df-89f7-70f7a4336f4b,Elmendorf AFB,act,usaf,AK,0.0494325449162716,2.05325697183789
1703,usa,na,Haarp Research Station,FXSB,No,No,Yes,na,na, ,9c258b09-2ae9-4272-96de-65ee9baa8c85,Haarp Research Station,act,usaf,AK,0.00381339538580505,0.290018422983276
1709,usa,na,Joint Base Langley-Eustis,MUHJ,No,Yes,Yes,na,na, ,b7817584-13e4-443c-a456-3988262b5c4d,Langley AFB,act,usaf,VA,0.00452435545889784,0.773987396818331
1714,usa,na,Joint Base Lewis-McChord,53465,No,Yes,Yes,na,na, ,474ea3b8-9ddc-4adf-892b-c17634aaa220,Fort Lewis,act,usa,WA,0.20891309265653,5.57009228777541
1731,usa,na,Joint Base Myer-Henderson Hall,51375,No,No,Yes,na,na, ,d2fc2ee0-4229-4ca9-8979-8b34cf5065a0,Joint Base Myer-Henderson Hall,act,usa,VA,0.000159826399112717,0.119486680075433
