OBJECTID,Country,Feature Description,Feature Name,Installation Identifier,Controlled Unclassified Information Indicator,Is FIRRMA Site,Is Joint Base,Media Identifier,Metadata Identifier,Primary Key Identifier,Globally Unique Identifier,Site Name,Site Operational Status,Site Reporting Component Code,State Name Code,Shape__Area,Shape__Length
649,usa,na,Air Force Plant 6,TTQK,No,No,No,na,na, ,6f17edbf-e6fb-4a18-9ff9-3a42dd540a99,Air Force Plant 6,act,usaf,GA,0.000298965326692269,0.126085534504483
650,usa,na,Dobbins ARB,FGWB,No,No,No,na,na, ,3480addf-038d-4041-bbf6-bff93bed15d2,Dobbins ARB,act,afr,GA,0.000697419844755132,0.283107490220827
651,usa,na,Grissom ARB,CTGB,No,No,No,na,na, ,6abb6328-264c-4234-949e-1bcdd24f89ac,Grissom ARB,act,afr,IN,0.00116920824916633,0.224252795767632
652,usa,na,Isabela Puerto Rico,AAWZ,No,No,No,na,na, ,6f680525-3515-47cf-a6d2-7ce2fbb5cd35,Isabela Puerto Rico,act,usaf,PR,0.000143448542303304,0.0518459399001476
653,usa,na,Homestead ARB,KYJM,No,No,No,na,na, ,7458b073-4ba0-4054-a8cc-6433fce28d3b,Homestead ARB,act,afr,FL,0.000355850004098102,0.160417966721326
655,usa,na,Norwalk 2,PDPG,No,No,No,na,na, ,2eb20721-c486-444c-8374-ff99866b188a,Norwalk 2,act,afr,CA,1.97449037386832E-05,0.0182066501087536
656,usa,na,Minn-St Paul,QJKL,No,No,No,na,na, ,354afdac-7cdf-4f85-a424-6bbc871cd02c,Minn-St Paul,act,afr,MN,0.000128114724248007,0.0872988337660433
657,usa,na,Niagara Falls,RVKQ,No,No,No,na,na, ,88b1b634-0acb-48ee-956e-90b6e8bddf6b,Niagara Falls,act,afr,NY,0.000282474125469889,0.129485259124042
658,usa,na,Pittsburgh IAP ARS,JLSS,No,No,No,na,na, ,905e2d2d-b1d9-4b70-8c44-8012292a4142,Pittsburgh IAP ARS,act,afr,PA,5.88755842727551E-05,0.0330173162084509
659,usa,na,Westover ARB,YTPM,No,No,No,na,na, ,e6fe7312-1b33-4664-9073-be045b53d00a,Westover ARB,act,afr,MA,0.00105305961665181,0.209788225902375
660,usa,na,Youngstown,ZQEL,No,No,No,na,na, ,81b3d3d1-b501-40f3-b9b2-f969e8a8f13d,Youngstown,act,afr,OH,0.000138682047236216,0.099859469540693
661,usa,na,Yukon Weapons Range,FTQW,No,No,No,na,na, ,5ef9327c-e2ad-41c6-8c95-af310882df2c,Yukon Weapons Range,act,usaf,AK,0.0151433365754201,1.06559938182758
662,usa,na,Bellows,LXEZ,No,No,No,na,na, ,c46932f3-f885-4ecb-806e-1a290fbdb5f9,Bellows,act,usaf,HI,0.000144974363593064,0.0813968562288528
678,usa,na,Birch Lake Recreation Annex,FTQW,No,No,No,na,na, ,8ca89ed6-6269-417a-a2fb-a71a0eb2732c,Birch Lake Recreation Annex,act,usaf,AK,3.65376172339893E-05,0.0272778587086696
679,usa,na,Dover AFB,FJXT,No,No,No,na,na, ,2a74c47d-9f95-44e0-aeee-a9b3dc3f46f3,Dover AFB,act,usaf,DE,0.0013349065040984,0.302734362942538
680,usa,na,Charlotte/Douglas IAP,FJRP,No,No,No,na,na, ,29f4dc11-83b3-4be2-a43c-c4b02c91eb4a,Charlotte/Douglas IAP,act,airNationalGuard,NC,4.22441808041185E-05,0.0319202755850571
681,usa,na,Goodfellow AFB,JCGU,No,No,No,na,na, ,e73c8eaf-ccbb-4245-8fc2-96ca935ee277,Goodfellow AFB,act,usaf,TX,0.0004145456682636,0.0935178532671683
684,usa,na,Vance AFB,XTLF,No,No,No,na,na, ,b462f7d8-5c23-4fe3-b3d2-0d9adeb8e194,Vance AFB,act,usaf,OK,0.0013750861171502,0.223266833730348
685,usa,na,Kegelman Air Force Auxiliary Field,XTLF,No,No,No,na,na, ,2d06e0c6-b521-4d53-bf72-228c04f70d11,Kegelman Air Force Auxiliary Field,act,usaf,OK,0.000495371006763889,0.126929988957063
687,usa,na,Columbus Auxiliary Airfield,EEPZ,No,No,No,na,na, ,7ec046e1-c742-4421-801c-44389531f35d,Columbus Auxiliary Airfield,act,usaf,MS,0.000352123738593946,0.109982464109017
688,usa,na,Columbus AFB,EEPZ,No,No,No,na,na, ,c13e3ecb-75c4-4944-bf8a-1da7010cda89,Columbus AFB,act,usaf,MS,0.00172673522774858,0.197505407449676
689,usa,na,Luke Air Force Auxiliary Field No 1,NUEX,No,yes,No,na,na, ,423ce10d-2e7f-49d4-a193-e8122510a8f3,Luke Air Force Auxiliary Field No 1,act,usaf,AZ,0.000433614732401111,0.114968099776877
690,usa,na,Barry M Goldwater Range,NUEX,No,No,No,na,na, ,eecfa0ad-7355-4ef8-a8e5-d1b0bc7c582b,Barry M Goldwater Range,act,usaf,AZ,0.00078463836712217,0.117713077524226
691,usa,na,Luke Waste Annex,NUEX,No,yes,No,na,na, ,dc63fa1d-3b3c-4504-95d1-fd811b00c19a,Luke Waste Annex,act,usaf,AZ,1.52713255374692E-05,0.0156953061762112
692,usa,na,The Barry M Goldwater Air Force Range,NUEX,No,No,No,na,na, ,da34c246-ab6b-48ee-ab5a-652e3857ed37,The Barry M Goldwater Air Force Range,act,usaf,AZ,0.408474461088417,3.82949703686773
694,usa,na,George AFB,CZQZ,No,No,No,na,na, ,35f6d632-a981-4855-bfb4-f3bb41c2eb24,George AFB,clsd,usaf,CA,3.33831349053071E-06,0.00737422819445767
695,usa,na,Tinker Air Force Base,WWYK,No,Yes,No,na,na, ,1629b3b1-e56e-436f-925b-c9468a59636a,Tinker AFB,act,usaf,OK,0.00224868670784417,0.376963750576779
696,usa,na,Tinker Support Annex,WWYK,No,No,No,na,na, ,07c67dfc-9b66-4540-9649-46f821702be2,Tinker Support Annex,act,usaf,OK,6.60648597659019E-05,0.0432957502044574
697,usa,na,Tinker Aerospace Complex,WWYK,No,No,No,na,na, ,7967b793-15a7-4471-b212-437f33fbbe5a,Tinker Aerospace Complex,act,usaf,OK,0.000237024222542459,0.0721353183902488
700,usa,na,Gen Mitchell IAP,HTUV,No,No,No,na,na, ,be38ae97-3afd-47c5-b652-7d868f0316f0,Gen Mitchell IAP,act,airNationalGuard,WI,2.94338408366457E-05,0.0268017789253944
701,usa,na,Duluth IAP,FMKM,No,No,No,na,na, ,7aa47031-9d66-4141-acee-fcef8cf7271d,Duluth IAP,act,airNationalGuard,MN,0.000101806379461777,0.12138876306194
702,usa,na,Mansfield Lahm Airport ANG 179th AW,PBXP,No,No,No,na,na, ,60fe18cb-55fa-4c33-8188-8651b82e06a1,Mansfield Lahm Airport ANG 179th AW,act,airNationalGuard,OH,2.85591302144894E-05,0.0371185968140648
703,usa,na,Alpena County Regional Airport,TDVG,No,No,No,na,na, ,9401625c-d494-48db-8550-7d2588a66218,Alpena County Regional Airport,act,airNationalGuard,MI,0.00025069048979276,0.10419053167662
704,usa,na,Point Arena Air Force Station,BAEY,No,No,No,na,na, ,a5a57bc8-c08d-490d-89af-458782cce75f,Point Arena Air Force Station,care,usaf,CA,3.36621169481077E-05,0.0481106732708451
705,usa,na,McClellan AFB,BAEY,No,No,No,na,na, ,101ccc64-ec85-4ef1-b242-48be21923ef5,McClellan AFB,clsd,usaf,CA,0.00120816118305811,0.221425212093829
706,usa,na,Malmstrom Air Force Base,NZAS,No,Yes,No,na,na, ,5159a88e-2f75-4ed8-b0fc-b588890b3856,Malmstrom AFB,act,usaf,MT,0.00158568532469872,0.223070748229876
707,usa,na,Fort Smith Map,HKRZ,No,No,No,na,na, ,,Fort Smith Map,act,airNationalGuard,AR,0.000461714794937507,0.132015648244695
708,usa,na,Tucson IAP,XHEA,No,No,No,na,na, ,,Tucson IAP,act,airNationalGuard,AZ,3.62931016297807E-05,0.0289955839940361
709,usa,na,Hector IAP,KKGA,No,No,No,na,na, ,910c2ccd-3f09-460e-8318-11f30baf3364,Hector IAP,act,airNationalGuard,ND,0.000123194228308421,0.0587320584749212
710,usa,na,McEntire Joint National Guard Base,PSTE,No,No,No,na,na, ,5aedcd83-1ac8-49e8-848a-772fe47810d3,McEntire Joint National Guard Base,act,airNationalGuard,SC,0.000962058883260397,0.165135833625701
711,usa,na,Minot Air Force Base,QJVF,No,Yes,No,na,na, ,f4c64ce8-78d9-4d54-8eed-3b7ccbff35ef,Minot AFB,act,usaf,ND,0.00244169615370993,0.336465583043924
712,usa,na,Fresno Yosemite International ANG,HAYW,No,No,No,na,na, ,,Fresno Yosemite International ANG,act,airNationalGuard,CA,4.81109800603008E-05,0.0554943222396872
713,usa,na,Great Falls IAP,JKSE,No,No,No,na,na, ,,Great Falls IAP,act,airNationalGuard,MT,6.45453724246181E-05,0.0413722429346918
714,usa,na,Atlantic City IAP,AQRC,No,No,No,na,na, ,,Atlantic City IAP,act,airNationalGuard,NJ,0.004134246176136,0.419683363164181
715,usa,na,Montgomery Regional Airport ANGB,FAKZ,No,No,No,na,na, ,9d142949-3705-4624-ac7b-46ab8428924f,Montgomery Regional Airport ANGB,act,airNationalGuard,AL,3.37196174768906E-05,0.0339387897108916
716,usa,na,Pittsburgh IAP ANG,JLSQ,No,No,No,na,na, ,8135c9f0-a451-43cd-b123-0c6fcf4d6f69,Pittsburgh IAP ANG,act,airNationalGuard,PA,7.62697902700893E-05,0.0389049157948302
